userID	hobbyID	weight
1	166	0.228682758
1	43	0.617804448
1	61	0.891875291
1	288	0.842381555
1	208	0.054423378
1	225	0.6643877
1	133	0.098191532
1	221	0.974848899
1	6	0.524341899
1	220	0.560664391
2	243	0.459091525
2	296	0.604305745
2	284	0.174524967
2	257	0.563600983
2	106	0.928430644
2	29	0.670253044
2	286	0.611976836
2	61	0.03603937
2	281	0.796972509
2	89	0.897539783
3	58	0.730529116
3	165	0.417794069
3	167	0.861458231
3	153	0.13710461
3	46	0.442230713
3	237	0.086125321
3	74	0.489644192
3	277	0.921969695
3	287	0.369667666
3	140	0.786592502
4	21	0.506500792
4	303	0.417571445
4	50	0.563311354
4	267	0.854805738
4	113	0.18260255
4	230	0.073766289
4	21	0.408359518
4	31	0.788653449
4	224	0.56776981
4	154	0.448294071
5	18	0.39472582
5	80	0.347079611
5	121	0.742296167
5	47	0.20583832
5	256	0.19087391
5	121	0.045981272
5	192	0.039398763
5	212	0.848633102
5	116	0.99412153
5	75	0.58339505
6	23	0.629827244
6	282	0.632326437
6	223	0.595869772
6	95	0.443200658
6	317	0.063351866
6	306	0.336389728
6	312	0.787386875
6	235	0.585578488
6	306	0.297704203
6	237	0.059683107
7	288	0.151627223
7	298	0.331650014
7	153	0.060247334
7	160	0.737152936
7	252	0.844331847
7	91	0.389812617
7	44	0.729476512
7	250	0.550300553
7	284	0.150037594
7	221	0.044846275
8	58	0.981008637
8	7	0.602586915
8	79	0.421862748
8	54	0.624252723
8	309	0.242287337
8	114	0.298279213
8	247	0.99107868
8	235	0.306641741
8	264	0.191222756
8	317	0.88096457
9	177	0.046475879
9	305	0.674683694
9	49	0.175026833
9	26	0.863074363
9	19	0.466542598
9	317	0.472564304
9	168	0.884200012
9	218	0.009663642
9	308	0.730505924
9	114	0.875434301
10	69	0.975195319
10	270	0.672109236
10	273	0.585506951
10	254	0.365107316
10	293	0.336742929
10	103	0.902766221
10	160	0.06432559
10	98	0.808734427
10	88	0.65216954
10	265	0.796271724
11	101	0.559967932
11	216	0.769811051
11	66	0.923407757
11	183	0.177720949
11	321	0.804353662
11	98	0.496852626
11	260	0.583638954
11	219	0.983946853
11	100	0.507402218
11	8	0.438606092
12	254	0.349065761
12	229	0.000228195
12	233	0.166989264
12	13	0.153890988
12	202	0.315717885
12	3	0.54907111
12	59	0.035296036
12	34	0.297946046
12	214	0.956371871
12	124	0.616171129
13	3	0.368958622
13	2	0.13406041
13	279	0.060439534
13	87	0.907323442
13	224	0.545399167
13	179	0.608989376
13	190	0.696819852
13	68	0.802133755
13	109	0.406469571
13	117	0.001987704
14	191	0.980498502
14	78	0.89838326
14	177	0.817505398
14	93	0.653601355
14	179	0.247964958
14	109	0.519585617
14	220	0.013833652
14	79	0.634971731
14	46	0.452875592
14	112	0.504443814
15	73	0.003422831
15	285	0.494049077
15	27	0.689835165
15	200	0.687452226
15	298	0.079362041
15	160	0.493833646
15	180	0.31575756
15	172	0.944780177
15	243	0.748540409
15	223	0.715045387
16	212	0.213651316
16	316	0.893067877
16	29	0.23234336
16	32	0.043872462
16	175	0.071740122
16	274	0.075189675
16	290	0.303250604
16	274	0.369215104
16	272	0.496055637
16	288	0.304763555
17	209	0.121814991
17	28	0.535735357
17	41	0.771287203
17	255	0.822428902
17	19	0.356662025
17	84	0.482796631
17	84	0.846893675
17	35	0.551741445
17	273	0.032772335
17	76	0.045608839
18	118	0.752643799
18	238	0.124130065
18	3	0.851882605
18	252	0.940861715
18	57	0.098883301
18	15	0.742116566
18	85	0.693980174
